"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.16.80.234","119.235.235.91","HTTP","216","POST /C2 HTTP/1.1 "
"2","3.605041","119.235.235.91","10.16.80.234","TCP","153","[TCP segment of a reassembled PDU]"
"3","3.605255","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=161 Ack=98 Win=65206 Len=0"
"4","3.624512","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"5","3.624756","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1 Ack=102 Win=64697 Len=0"
"6","3.714813","119.235.235.91","10.16.80.234","TCP","153","[TCP Retransmission] http > 46207 [PSH, ACK] Seq=1 Ack=161 Win=8576 Len=97"
"7","3.714966","10.16.80.234","119.235.235.91","TCP","56","[TCP Dup ACK 3#1] 46207 > http [ACK] Seq=161 Ack=98 Win=65206 Len=0"
"8","3.835510","119.235.235.91","10.16.80.234","HTTP","77","HTTP/1.1 200 OK "
"9","3.835754","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=161 Ack=119 Win=65185 Len=0"
"10","3.864868","119.235.235.91","10.16.80.234","HTTP","321","HTTP/1.1 200 OK "
"11","3.865051","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1 Ack=367 Win=64432 Len=0"
"12","3.959137","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"13","4.185913","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=367 Ack=157 Win=10720 Len=0"
"14","4.204986","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"15","4.205231","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=157 Ack=468 Win=64331 Len=0"
"16","5.084717","119.235.235.91","10.16.80.234","HTTP","224","HTTP/1.1 200 OK "
"17","5.085235","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=157 Ack=636 Win=64163 Len=0"
"18","5.187897","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"19","5.474609","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=636 Ack=313 Win=10720 Len=0"
"20","5.954803","111.91.132.45","10.16.80.234","TURN CHANNEL","109","Channel Id 0x5500"
"21","5.955017","10.16.80.234","111.91.132.45","TCP","56","37189 > hpvroom [ACK] Seq=1 Ack=54 Win=64707 Len=0"
"22","5.974243","10.16.80.234","111.91.132.45","TURN CHANNEL","109","Channel Id 0x5500"
"23","6.144653","111.91.132.45","10.16.80.234","TCP","56","hpvroom > 37189 [ACK] Seq=54 Ack=54 Win=6432 Len=0"
"24","7.704742","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"25","7.705078","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=313 Ack=737 Win=64062 Len=0"
"26","8.144745","119.235.235.91","10.16.80.234","HTTP","317","HTTP/1.1 200 OK "
"27","8.145141","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=313 Ack=998 Win=63801 Len=0"
"28","8.257324","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"29","8.414642","10.16.80.234","119.235.235.91","HTTP","259","POST /S3 HTTP/1.1 "
"30","9.314819","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=998 Ack=469 Win=10720 Len=0"
"31","9.394440","119.235.235.91","10.16.80.234","TCP","153","[TCP segment of a reassembled PDU]"
"32","9.394714","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=364 Ack=216 Win=65088 Len=0"
"33","9.474640","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"34","9.474884","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=469 Ack=1099 Win=63700 Len=0"
"35","9.784820","119.235.235.91","10.16.80.234","HTTP","84","HTTP/1.1 200 OK "
"36","9.785156","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=364 Ack=244 Win=65060 Len=0"
"37","10.084778","119.235.235.91","10.16.80.234","HTTP","224","HTTP/1.1 200 OK "
"38","10.085113","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=469 Ack=1267 Win=63532 Len=0"
"39","10.128357","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"40","10.694916","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=1267 Ack=625 Win=10720 Len=0"
"41","14.443359","10.16.80.234","119.235.235.91","HTTP","221","POST /C2 HTTP/1.1 "
"42","17.164947","119.235.235.91","10.16.80.234","TCP","153","[TCP segment of a reassembled PDU]"
"43","17.165161","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=529 Ack=341 Win=64963 Len=0"
"44","17.174347","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"45","17.174530","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=625 Ack=1368 Win=63431 Len=0"
"46","17.394409","119.235.235.91","10.16.80.234","HTTP","77","HTTP/1.1 200 OK "
"47","17.394592","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=529 Ack=362 Win=64942 Len=0"
"48","17.414306","119.235.235.91","10.16.80.234","HTTP","326","HTTP/1.1 200 OK "
"49","17.414490","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=625 Ack=1638 Win=63161 Len=0"
"50","17.434479","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"51","17.674744","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=1638 Ack=781 Win=10720 Len=0"
"52","17.684601","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"53","17.720978","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=781 Ack=1739 Win=63060 Len=0"
"54","17.944458","119.235.235.91","10.16.80.234","HTTP","224","HTTP/1.1 200 OK "
"55","17.944824","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=781 Ack=1907 Win=62892 Len=0"
"56","18.003662","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"57","18.284149","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=1907 Ack=937 Win=10720 Len=0"
"58","28.174072","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"59","28.174225","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=937 Ack=2008 Win=62791 Len=0"
"60","28.184357","119.235.235.91","10.16.80.234","TCP","157","[TCP Retransmission] http > 51187 [PSH, ACK] Seq=1907 Ack=937 Win=10720 Len=101"
"61","28.184509","10.16.80.234","119.235.235.91","TCP","56","[TCP Dup ACK 59#1] 51187 > http [ACK] Seq=937 Ack=2008 Win=62791 Len=0"
"62","28.404693","119.235.235.91","10.16.80.234","HTTP","324","HTTP/1.1 200 OK "
"63","28.405060","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=937 Ack=2276 Win=62523 Len=0"
"64","28.536835","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"65","28.653778","10.16.80.234","119.235.235.91","HTTP","259","POST /S3 HTTP/1.1 "
"66","28.773926","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=2276 Ack=1093 Win=10720 Len=0"
"67","28.994446","119.235.235.91","10.16.80.234","TCP","153","[TCP segment of a reassembled PDU]"
"68","28.994751","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=732 Ack=459 Win=64845 Len=0"
"69","29.004547","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"70","29.004852","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1093 Ack=2377 Win=62422 Len=0"
"71","29.264160","119.235.235.91","10.16.80.234","HTTP","84","HTTP/1.1 200 OK "
"72","29.264496","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=732 Ack=487 Win=64817 Len=0"
"73","29.304077","119.235.235.91","10.16.80.234","HTTP","224","HTTP/1.1 200 OK "
"74","29.304474","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1093 Ack=2545 Win=62254 Len=0"
"75","29.353241","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"76","29.543976","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=2545 Ack=1249 Win=10720 Len=0"
"77","34.283996","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"78","34.284332","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1249 Ack=2646 Win=62153 Len=0"
"79","34.664093","119.235.235.91","10.16.80.234","HTTP","323","HTTP/1.1 200 OK "
"80","34.664490","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1249 Ack=2913 Win=61886 Len=0"
"81","34.800049","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"82","34.908356","10.16.80.234","119.235.235.91","HTTP","259","POST /S3 HTTP/1.1 "
"83","35.394226","119.235.235.91","10.16.80.234","TCP","323","[TCP Retransmission] [TCP segment of a reassembled PDU]"
"84","35.394256","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=2913 Ack=1405 Win=10720 Len=0"
"85","35.394684","10.16.80.234","119.235.235.91","TCP","56","[TCP Dup ACK 81#1] 51187 > http [ACK] Seq=1405 Ack=2913 Win=61886 Len=0"
"86","35.413940","119.235.235.91","10.16.80.234","TCP","153","[TCP segment of a reassembled PDU]"
"87","35.414154","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=935 Ack=584 Win=64720 Len=0"
"88","35.464722","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"89","35.464996","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1405 Ack=3014 Win=61785 Len=0"
"90","35.613952","119.235.235.91","10.16.80.234","HTTP","84","HTTP/1.1 200 OK "
"91","35.614319","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=935 Ack=612 Win=64692 Len=0"
"92","35.773926","119.235.235.91","10.16.80.234","HTTP","224","HTTP/1.1 200 OK "
"93","35.774078","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1405 Ack=3182 Win=61617 Len=0"
"94","35.787536","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"95","36.033874","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=3182 Ack=1561 Win=10720 Len=0"
"96","45.441620","10.16.80.234","119.235.235.91","HTTP","224","POST /C2 HTTP/1.1 "
"97","46.569733","119.235.235.91","10.16.80.234","TCP","153","[TCP segment of a reassembled PDU]"
"98","46.569763","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"99","46.569977","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=1103 Ack=709 Win=64595 Len=0"
"100","46.600891","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1561 Ack=3283 Win=61516 Len=0"
"101","46.790985","119.235.235.91","10.16.80.234","HTTP","77","HTTP/1.1 200 OK "
"102","46.791290","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=1103 Ack=730 Win=64574 Len=0"
"103","46.819671","119.235.235.91","10.16.80.234","HTTP","329","HTTP/1.1 200 OK "
"104","46.821075","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1561 Ack=3556 Win=61243 Len=0"
"105","46.846069","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"106","47.209991","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=3556 Ack=1717 Win=10720 Len=0"
"107","47.219665","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"108","47.251587","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1717 Ack=3657 Win=61142 Len=0"
"109","47.469635","119.235.235.91","10.16.80.234","HTTP","224","HTTP/1.1 200 OK "
"110","47.469940","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1717 Ack=3825 Win=60974 Len=0"
"111","47.543182","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"112","48.169708","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=3825 Ack=1873 Win=10720 Len=0"
"113","48.203552","10.16.80.234","119.235.235.91","HTTP","214","POST /C2 HTTP/1.1 "
"114","48.479553","119.235.235.91","10.16.80.234","TCP","153","[TCP segment of a reassembled PDU]"
"115","48.479736","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=1261 Ack=827 Win=64477 Len=0"
"116","48.499573","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"117","48.499847","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1873 Ack=3926 Win=60873 Len=0"
"118","48.709656","119.235.235.91","10.16.80.234","HTTP","77","HTTP/1.1 200 OK "
"119","48.710052","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=1261 Ack=848 Win=64456 Len=0"
"120","48.739502","119.235.235.91","10.16.80.234","HTTP","319","HTTP/1.1 200 OK "
"121","48.739899","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=1873 Ack=4189 Win=60610 Len=0"
"122","48.761749","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"123","48.989746","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=4189 Ack=2029 Win=10720 Len=0"
"124","49.020264","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"125","49.050964","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=2029 Ack=4290 Win=60509 Len=0"
"126","49.339752","119.235.235.91","10.16.80.234","HTTP","224","HTTP/1.1 200 OK "
"127","49.340088","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=2029 Ack=4458 Win=60341 Len=0"
"128","49.382294","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"129","49.689575","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=4458 Ack=2185 Win=10720 Len=0"
"130","65.721618","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"131","65.721802","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=2185 Ack=4559 Win=60240 Len=0"
"132","65.801575","119.235.235.91","10.16.80.234","TCP","157","[TCP Retransmission] http > 51187 [PSH, ACK] Seq=4458 Ack=2185 Win=10720 Len=101"
"133","65.802063","10.16.80.234","119.235.235.91","TCP","56","[TCP Dup ACK 131#1] 51187 > http [ACK] Seq=2185 Ack=4559 Win=60240 Len=0"
"134","66.071869","119.235.235.91","10.16.80.234","HTTP","332","HTTP/1.1 200 OK "
"135","66.072143","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=2185 Ack=4835 Win=59964 Len=0"
"136","66.175201","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"137","66.301971","10.16.80.234","119.235.235.91","HTTP","259","POST /S3 HTTP/1.1 "
"138","66.451294","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=4835 Ack=2341 Win=10720 Len=0"
"139","66.582519","119.235.235.91","10.16.80.234","TCP","153","[TCP segment of a reassembled PDU]"
