CID;LAC;NET;RXL;TYPE;LAT;LON;SPEED;DATE;TIME;N1CID;N1LAC;N1RXL;N2CID;N2LAC;N2RXL;N3CID;N3LAC;N3RXL;N4CID;N4LAC;N4RXL;N5CID;N5LAC;N5RXL;N6CID;N6LAC;N6RXL
39520;10473;46692;-65;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:13;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-65;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:14;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-65;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:15;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-65;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:16;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-69;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:17;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-69;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:18;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-69;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:19;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-69;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:20;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-69;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:21;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-69;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:22;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-67;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:23;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-67;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:24;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-67;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:25;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-73;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:26;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-73;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:27;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-73;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:28;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-69;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:29;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-69;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:30;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-69;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:31;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-71;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:32;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-71;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:33;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-71;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:34;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-67;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:35;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-67;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:36;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-67;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:37;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-71;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:38;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-71;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:39;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-71;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:40;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-71;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:41;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-71;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:42;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
39520;10473;46692;-71;UMTS;24.11030;120.61673;0 km/h;2012/03/16;22:37:43;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
